last_name, first_name,year,pitch_hand,n,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,fastball_avg_break,n_breaking_formatted,breaking_avg_speed,breaking_avg_spin,breaking_avg_break,n_offspeed_formatted,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break,
Gerber, Joey,2020,R,233,65.2,93.3,2298,20.1,34.7,83.8,1993,8.2,,,,,
Farmer, Buck,2020,R,341,52.7,93.2,2276,19.4,14.6,81.7,2761,2.9,32.5,87.3,1696,15.1,
Dunn, Justin,2020,R,801,54.5,91.2,2238,19.1,39.2,80.8,2363,11.9,6.2,87.1,1854,16.9,
Dugger, Robert,2020,R,212,53.7,92,2299,19.1,43.3,79.4,2457,8.4,2.8,84.1,1535,15.8,
Detwiler, Ross,2020,L,311,56.9,91.4,2234,19.4,33.7,82.7,2185,3.3,9.3,85.2,1726,14.5,
DeSclafani, Anthony,2020,R,602,51.1,94.9,2160,18.2,41.6,85.1,2123,6.2,7.1,88.5,1552,16,
Cobb, Alex,2020,R,807,48.0,92.5,2090,19.8,16.7,81.7,2579,13.1,35.1,86.9,1616,13.5,
Cessa, Luis,2020,R,360,31.1,93.6,2246,18.4,56.3,83.6,2514,4.3,12.5,87.5,1649,15.3,
Cahill, Trevor,2020,R,456,47.1,89.4,2168,13.3,23.0,78.5,2982,16.1,29.8,82.7,1550,13.8,
Brewer, Colten,2020,R,506,45.8,93.8,2398,11,54.1,84,2701,14.4,,,,,
Betances, Dellin,2020,R,241,48.9,93.6,2194,12.4,51.0,83.3,2510,11.5,,,,,
Bass, Anthony,2020,R,385,54.2,94.6,2034,19.2,38.9,85.8,2264,5.4,6.7,86.4,1435,15.4,
Baragar, Caleb,2020,L,349,75.0,93.9,2493,20.7,24.6,82,2934,11.5,0.2,86.5,2290,17.5,
Alexander, Scott,2020,L,202,83.1,93.1,2196,15.1,16.8,87.9,2232,5.7,,,,,
Alcala, Jorge,2020,R,403,46.4,96.9,2400,18.8,44.6,88.6,2427,5.8,8.9,89.2,2346,19.6,
Zuber, Tyler,2020,R,386,44.5,94.1,2235,16.9,44.5,83.3,2720,10.1,10.8,86.1,1363,11.6,
Young, Alex,2020,L,797,54.3,89.2,2364,15.3,24.5,81.6,2402,4.1,21.0,85.2,1725,15.1,
Workman, Brandon,2020,R,395,60.5,89.7,2137,11.3,39.4,79.2,2583,17.3,,,,,
Woodford, Jake,2020,R,360,50.8,92.8,2259,15.3,48.0,80.9,2435,12,1.1,85.6,1504,15.7,
Wood, Alex,2020,L,282,48.2,91.1,2212,18.9,28.7,84.6,2240,2.2,23.0,84.7,1785,14.4,
Williams, Taylor,2020,R,272,45.2,95,2302,16.2,54.7,85.9,2474,2.3,,,,,
Valdez, Phillips,2020,R,509,45.1,92.2,2403,19.5,5.8,81.5,2428,6.3,48.9,85,1955,16,
Valdez, Framber,2020,L,1049,56.8,93.1,2257,14,33.4,80.5,2982,19.2,9.7,88.8,1720,13.5,
Valdez, Cesar,2020,R,191,15.7,85.5,2160,18.3,1.0,77.6,2433,10.6,83.2,77.9,1784,11.9,
Urias, Julio,2020,L,849,58.0,94.2,2477,18,28.2,81.9,2832,14.7,13.6,84.9,1812,16.7,
Sims, Lucas,2020,R,464,48.0,93.9,2771,19.7,50.4,82.1,3071,15.3,1.5,87.5,2118,17.2,
Santana, Dennis,2020,R,284,38.7,94.4,2378,19.2,46.1,84.3,2689,5.4,15.1,86.7,2153,17.1,
Rondon, Hector,2020,R,390,59.4,95.6,2034,17.7,36.9,85.4,2290,6.2,3.5,88.3,1719,16.4,
Romo, Sergio,2020,R,352,23.5,85.5,2324,19.2,64.7,76,2917,18.3,11.6,79.7,2166,20.7,
Rogers, Trevor,2020,L,568,60.0,93.6,2431,20.4,21.8,81.1,2021,4.9,18.1,84.4,1455,15.2,
Rogers, Taylor,2020,L,342,53.8,94.6,2137,19.1,46.1,81.1,2612,13.8,,,,,
Reed, Cody,2020,L,236,47.8,94.4,2110,16.6,49.5,87.4,2565,6.8,2.5,88.7,1664,15.9,
Petit, Yusmeiro,2020,R,315,71.1,86.7,2134,17.4,10.7,74.3,2000,13.3,18.0,81.2,1753,18.3,
Peralta, Wandy,2020,L,488,35.4,94.7,2206,18,33.1,87.5,2284,5.1,31.3,87.6,2245,18,
Ottavino, Adam,2020,R,339,49.8,92.8,2253,15.9,47.1,81,2862,18.2,2.9,87.4,1990,12.7,
Neverauskas, Dovydas,2020,R,358,66.2,93.2,2291,16.8,33.7,82.1,2926,14.2,,,,,
