last_name, first_name,year,player_age,pitch_hand,n,fastball_avg_speed,fastball_avg_spin,fastball_avg_break,breaking_avg_speed,breaking_avg_spin,breaking_avg_break,offspeed_avg_speed,offspeed_avg_spin,offspeed_avg_break,
Rodriguez, Richard,2019,29,R,1150,93.2,2503,20.5,81.6,2421,7.6,86.9,1833,19.1,
Richards, Trevor,2019,26,R,2288,89.7,2118,17.4,78.9,2228,8.6,83.4,2391,17.9,
Perez, Martin,2019,28,L,2771,91.7,2178,14.3,79.2,2637,8.5,85.3,1795,18,
Perdomo, Luis,2019,26,R,1041,94.2,1891,18,86.6,2295,2.5,88.5,1569,15.5,
Pena, Felix,2019,29,R,1570,91.5,2098,19.8,82.5,2498,3.3,83.9,1675,17.8,
Parker, Blake,2019,34,R,1020,90.9,2145,15.6,76,2170,14,79.9,1045,10.1,
Pagan, Emilio,2019,28,R,1075,92.5,2434,14,80.3,2544,14.6,,,,
Osuna, Roberto,2019,24,R,945,95.6,2486,18.3,88.1,2495,8.2,84.4,1875,18.6,
Osich, Josh,2019,31,L,1053,90.3,2289,8.7,77.9,2288,5.2,84,1686,18.4,
Musgrove, Joe,2019,27,R,2654,91.9,2404,12.8,82.9,2519,12.1,85.3,2001,9.2,
Miley, Wade,2019,33,L,2863,88.3,2229,11.9,76.1,2425,13.8,81.2,1869,18.5,
Martin, Brett,2019,24,L,1022,93.8,2314,15.3,83.9,2269,6,,,,
Marquez, German,2019,24,R,2616,95.4,2207,15.6,86.1,2540,4.8,87.8,1969,17.5,
Lugo, Seth,2019,30,R,1274,94.3,2228,19,82.6,2985,16.4,87.9,1736,18,
Lucchesi, Joey,2019,26,L,2641,90.2,2219,17.2,,,,78.9,2091,3,
Diaz, Edwin,2019,25,R,1072,97.4,2371,18.9,89.5,2367,6,,,,
Greinke, Zack,2019,36,R,3085,89.9,2318,16.9,77.4,2481,12.3,87.3,1779,13.2,
Gaviglio, Sam,2019,29,R,1427,89.2,2092,16,84,2139,5.2,82.5,1232,13.7,
