,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,FIRSTNAME,LASTNAME
118,MiguelM RojasRojas,MIA,--,345,39,96,23,1,2,32,22,51,9,3,0.278,0.325,0.368,0.693,Miguel,Rojas
119,JeanJ SeguraSegura,PHI,--,441,45,122,20,3,6,42,21,56,9,1,0.277,0.316,0.376,0.693,Jean,Segura
120,NickN AhmedAhmed,ARI,--,415,53,97,18,5,13,58,36,90,7,2,0.234,0.295,0.395,0.69,Nick,Ahmed
121,MiguelM CabreraCabrera,DET,--,396,31,106,12,0,8,39,35,86,0,0,0.268,0.329,0.359,0.687,Miguel,Cabrera
122,AlbertA PujolsPujols,LAA,--,326,35,77,13,0,12,56,29,46,2,0,0.236,0.299,0.387,0.6859999999999999,Albert,Pujols
123,StarlinS CastroCastro,MIA,--,472,48,119,24,4,13,65,20,83,2,2,0.252,0.28300000000000003,0.403,0.685,Starlin,Castro
124,KevinK PillarPillar,SF,--,449,61,113,25,3,12,59,10,74,10,2,0.252,0.28,0.401,0.6809999999999999,Kevin,Pillar
125,RougnedR OdorOdor,TEX,--,357,50,68,16,1,21,61,31,121,7,7,0.19,0.26,0.417,0.6779999999999999,Rougned,Odor
126,LorenzoL CainCain,MIL,--,403,49,104,23,0,5,34,34,76,9,7,0.258,0.324,0.35200000000000004,0.677,Lorenzo,Cain
127,BrandonB CrawfordCrawford,SF,--,360,44,81,17,1,10,50,46,89,2,1,0.225,0.313,0.361,0.674,Brandon,Crawford
128,JuricksonJ ProfarProfar,OAK,--,354,46,68,17,2,17,50,35,58,7,1,0.192,0.278,0.395,0.674,Jurickson,Profar
129,LeuryL GarcíaGarcia,CWS,--,394,63,104,14,2,5,26,15,105,11,5,0.264,0.294,0.348,0.642,Leury,García
130,OrlandoO ArciaArcia,MIL,--,373,36,81,13,0,11,49,32,85,7,3,0.217,0.276,0.34,0.617,Orlando,Arcia
131,MallexM SmithSmith,SEA,--,362,43,77,14,7,5,29,28,104,27,4,0.213,0.28300000000000003,0.331,0.615,Mallex,Smith
132,HanserH AlbertoAlberto,BAL,--,303,31,72,10,0,7,31,10,25,2,1,0.238,0.269,0.34,0.609,Hanser,Alberto
133,YolmerY SánchezSanchez,CWS,--,376,45,90,13,3,1,33,34,93,4,3,0.239,0.309,0.298,0.606,Yolmer,Sánchez
134,KhrisK DavisDavis,OAK,--,351,36,69,11,0,12,48,28,118,0,0,0.197,0.258,0.33,0.589,Khris,Davis
