,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
75,ChristianC YelichYelich,MIL,58,200,39,41,7,1,12,22,46,76,4,2,0.205,0.35600000000000004,0.43,0.7859999999999999
76,NickN CastellanosCastellanos,CIN,60,218,37,49,11,2,14,34,19,69,0,2,0.225,0.298,0.486,0.784
77,EugenioE SuárezSuarez,CIN,57,198,29,40,8,0,15,38,30,67,2,0,0.202,0.312,0.47,0.7809999999999999
78,MaikelM FrancoFranco,KC,60,223,23,62,16,0,8,38,16,38,1,0,0.278,0.321,0.457,0.778
79,DavidD PeraltaPeralta,ARI,54,203,19,61,10,1,5,34,13,45,1,0,0.3,0.339,0.433,0.773
80,YasmaniY GrandalGranda,CWS,46,161,27,37,7,0,8,27,30,58,0,0,0.23,0.35100000000000003,0.422,0.773
81,RaimelR TapiaTapia,COL,51,184,26,59,8,2,1,17,14,38,8,2,0.321,0.369,0.402,0.772
82,JuricksonJ ProfarProfar,SD,56,180,28,50,6,0,7,25,15,28,7,1,0.278,0.343,0.428,0.7709999999999999
83,StarlingS MarteMarte,MIA,61,228,36,64,14,1,6,27,12,41,10,2,0.281,0.34,0.43,0.77
84,JeanJ SeguraSegura,PHI,54,192,28,51,5,2,7,25,23,45,2,2,0.266,0.34700000000000003,0.422,0.769
85,WhitW MerrifieldMerrifield,KC,60,248,38,70,12,0,9,30,12,33,12,3,0.282,0.325,0.44,0.764
86,WillsonW ContrerasContrera,CHC,57,189,37,46,10,0,7,26,20,57,1,2,0.243,0.35600000000000004,0.407,0.763
87,CesarC HernandezHernandez,CLE,58,233,35,66,20,0,3,20,24,57,0,0,0.28300000000000003,0.355,0.408,0.763
88,J.D.J DavisDavis,NYM,56,190,26,47,9,0,6,19,31,56,0,0,0.247,0.371,0.389,0.7609999999999999
89,MaxM KeplerKepler,MIN,48,171,27,39,9,0,9,23,22,36,3,0,0.228,0.321,0.439,0.76
