,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,caret-upcaret-downOPS
4,55DansbyD SwansonSwansonSS55‌‌‌,ATL,60,237,49,65,15,0,10,35,22,71,5,0,0.27399999999999997,0.345,0.46399999999999997,0.809
5,56TrentT GrishamGrishamCF56‌‌‌,SD,59,215,42,54,8,3,10,26,31,64,10,1,0.251,0.35200000000000004,0.456,0.8079999999999999
6,57CavanC BiggioBiggio2B57‌‌‌,TOR,59,220,41,55,16,0,8,28,41,61,6,0,0.25,0.375,0.43200000000000005,0.807
7,58CharlieC BlackmonBlackmonRF58‌‌‌,COL,59,221,31,67,12,1,6,42,19,44,2,1,0.303,0.35600000000000004,0.44799999999999995,0.804
8,59DavidD FletcherFletcherSS59‌‌‌,LAA,49,207,31,66,13,0,3,18,20,25,2,1,0.319,0.376,0.425,0.8009999999999999
9,60ChristianC VázquezVazquezC60‌‌‌,BOS,47,173,22,49,9,0,7,23,16,43,4,3,0.28300000000000003,0.344,0.457,0.8009999999999999
10,61KyleK LewisLewisCF61‌‌‌,SEA,58,206,37,54,3,0,11,28,34,71,5,1,0.262,0.364,0.43700000000000006,0.8
11,62JoeyJ VottoVotto1B62‌‌‌,CIN,54,186,32,42,8,0,11,22,37,43,0,0,0.226,0.354,0.446,0.8
12,63KevinK PillarPillarCF63‌‌‌,COL,54,208,34,60,12,3,6,26,13,41,5,2,0.28800000000000003,0.336,0.462,0.7979999999999999
13,64ColinC MoranMoranDH64‌‌‌,PIT,52,178,28,44,10,0,10,23,19,52,0,0,0.247,0.325,0.47200000000000003,0.797
14,65MarkM CanhaCanhaDH65‌‌‌,OAK,59,191,32,47,12,2,5,33,37,54,4,0,0.24600000000000002,0.387,0.408,0.795
15,66FranmilF ReyesReyesDH66‌‌‌,CLE,59,211,27,58,10,0,9,34,24,69,0,0,0.275,0.344,0.45,0.795
16,67AaronA HicksHicksCF67‌‌‌,NYY,54,169,28,38,10,2,6,21,41,38,4,1,0.225,0.379,0.414,0.7929999999999999
17,68RafaelR DeversDevers3B68‌‌‌,BOS,57,232,32,61,16,1,11,43,13,67,0,0,0.263,0.31,0.483,0.7929999999999999
18,69RandalR GrichukGrichukCF69‌‌‌,TOR,55,216,38,59,9,0,12,35,13,49,1,1,0.273,0.312,0.48100000000000004,0.7929999999999999
19,70EddieE RosarioRosarioLF70‌‌‌,MIN,57,210,31,54,7,0,13,42,19,34,3,1,0.257,0.316,0.47600000000000003,0.792
20,71ChristianC WalkerWalker1B71‌‌‌,ARI,57,218,35,59,18,1,7,34,19,50,1,1,0.271,0.33299999999999996,0.45899999999999996,0.792
21,72BrandonB CrawfordCrawfordSS72‌‌‌,SF,54,172,26,44,12,0,8,28,15,47,1,2,0.256,0.326,0.465,0.792
22,73VladimirV Guerrero Jr.Guerrero Jr.1B73‌‌‌,TOR,60,221,34,58,13,2,9,33,20,38,1,0,0.262,0.32899999999999996,0.462,0.7909999999999999
23,74CodyC BellingerBellingerCF74‌‌‌,LAD,56,213,33,51,10,0,12,30,30,42,6,1,0.239,0.33299999999999996,0.455,0.789
24,75KyleK SeagerSeager3B75‌‌‌,SEA,60,203,35,49,12,0,9,40,32,33,5,0,0.24100000000000002,0.355,0.433,0.7879999999999999
0,76ChristianC YelichYelichLF76‌‌‌,MIL,58,200,39,41,7,1,12,22,46,76,4,2,0.205,0.35600000000000004,0.43,0.7859999999999999
1,77NickN CastellanosCastellanosRF77‌‌‌,CIN,60,218,37,49,11,2,14,34,19,69,0,2,0.225,0.298,0.486,0.784
2,78EugenioE SuárezSuarez3B78‌‌‌,CIN,57,198,29,40,8,0,15,38,30,67,2,0,0.20199999999999999,0.312,0.47,0.7809999999999999
3,79MaikelM FrancoFranco3B79‌‌‌,KC,60,223,23,62,16,0,8,38,16,38,1,0,0.278,0.321,0.457,0.778
4,80DavidD PeraltaPeraltaLF80‌‌‌,ARI,54,203,19,61,10,1,5,34,13,45,1,0,0.3,0.33899999999999997,0.433,0.773
5,81YasmaniY GrandalGrandalC81‌‌‌,CWS,46,161,27,37,7,0,8,27,30,58,0,0,0.23,0.35100000000000003,0.42200000000000004,0.773
6,82RaimelR TapiaTapiaLF82‌‌‌,COL,51,184,26,59,8,2,1,17,14,38,8,2,0.321,0.369,0.402,0.772
7,83JuricksonJ ProfarProfarLF83‌‌‌,SD,56,180,28,50,6,0,7,25,15,28,7,1,0.278,0.34299999999999997,0.428,0.7709999999999999
8,84StarlingS MarteMarteCF84‌‌‌,MIA,61,228,36,64,14,1,6,27,12,41,10,2,0.281,0.34,0.43,0.77
9,85JeanJ SeguraSegura2B85‌‌‌,PHI,54,192,28,51,5,2,7,25,23,45,2,2,0.266,0.34700000000000003,0.42200000000000004,0.769
10,86WhitW MerrifieldMerrifieldRF86‌‌‌,KC,60,248,38,70,12,0,9,30,12,33,12,3,0.282,0.325,0.44,0.764
11,87WillsonW ContrerasContrerasC87‌‌‌,CHC,57,189,37,46,10,0,7,26,20,57,1,2,0.243,0.35600000000000004,0.40700000000000003,0.763
12,88CesarC HernandezHernandez2B88‌‌‌,CLE,58,233,35,66,20,0,3,20,24,57,0,0,0.28300000000000003,0.355,0.408,0.763
13,89J.D.J DavisDavis3B89‌‌‌,NYM,56,190,26,47,9,0,6,19,31,56,0,0,0.247,0.371,0.389,0.7609999999999999
14,90MaxM KeplerKeplerRF90‌‌‌,MIN,48,171,27,39,9,0,9,23,22,36,3,0,0.228,0.321,0.439,0.76
15,91AndrewA McCutchenMcCutchenLF91‌‌‌,PHI,57,217,32,55,9,0,10,34,22,48,4,0,0.253,0.324,0.433,0.757
16,92MiguelM SanóSano1B92‌‌‌,MIN,53,186,31,38,12,0,13,25,18,90,0,0,0.204,0.278,0.478,0.7559999999999999
17,93AnthonyA RizzoRizzo1B93‌‌‌,CHC,58,203,26,45,6,0,11,24,28,38,3,1,0.222,0.342,0.414,0.755
18,94AsdrubalA CabreraCabrera1B94‌‌‌,WSH,52,190,23,46,9,3,8,31,19,40,0,0,0.242,0.305,0.447,0.752
19,95FranciscoF LindorLindorSS95‌‌‌,CLE,60,236,30,61,13,0,8,27,24,41,6,2,0.258,0.335,0.415,0.75
20,96MiguelM CabreraCabreraDH96‌‌‌,DET,57,204,28,51,4,0,10,35,24,51,1,0,0.25,0.32899999999999996,0.41700000000000004,0.746
21,97LuisL RobertRobertCF97‌‌‌,CWS,56,202,33,47,8,0,11,31,20,73,9,2,0.233,0.302,0.436,0.738
22,98NolanN ArenadoArenado3B98‌‌‌,COL,48,182,23,46,9,0,8,26,15,20,0,0,0.253,0.303,0.434,0.738
23,99HunterH DozierDozier1B99‌‌‌,KC,44,158,29,36,4,2,6,12,27,48,4,0,0.228,0.344,0.392,0.736
24,100MattM OlsonOlson1B100‌‌‌,OAK,60,210,28,41,4,1,14,42,34,77,1,0,0.195,0.31,0.424,0.7340000000000001
0,101OrlandoO ArciaArciaSS101‌‌‌,MIL,59,173,22,45,10,1,5,20,14,32,2,0,0.26,0.317,0.41600000000000004,0.7340000000000001
1,102KetelK MarteMarte2B102‌‌‌,ARI,45,181,19,52,14,1,2,17,7,21,1,0,0.287,0.32299999999999995,0.409,0.732
2,103NickN AhmedAhmedSS103‌‌‌,ARI,57,199,29,53,10,1,5,29,18,46,4,0,0.266,0.327,0.402,0.7290000000000001
3,104EvanE LongoriaLongoria3B104‌‌‌,SF,53,193,26,49,10,1,7,28,11,39,0,1,0.254,0.297,0.425,0.722
4,105MaxM MuncyMuncy1B105‌‌‌,LAD,58,203,36,39,4,0,12,27,39,60,1,0,0.192,0.331,0.389,0.72
5,106AustinA RileyRiley3B106‌‌‌,ATL,51,188,24,45,7,1,8,27,16,49,0,0,0.239,0.301,0.415,0.716
6,107RyanR McMahonMcMahon2B107‌‌‌,COL,52,172,23,37,6,1,9,26,18,66,0,1,0.215,0.295,0.419,0.7140000000000001
7,108CoreyC DickersonDickersonLF108‌‌‌,MIA,52,194,25,50,5,1,7,17,15,35,1,1,0.258,0.311,0.402,0.713
8,109RioR RuizRuiz3B109‌‌‌,BAL,54,185,25,41,11,0,9,32,17,46,1,2,0.222,0.28600000000000003,0.42700000000000005,0.713
9,110AdalbertoA MondesiMondesiSS110‌‌‌,KC,59,219,33,56,11,3,6,22,11,70,24,8,0.256,0.294,0.41600000000000004,0.71
10,111CarlosC CorreaCorreaSS111‌‌‌,HOU,58,201,22,53,9,0,5,25,16,49,0,0,0.264,0.326,0.38299999999999995,0.7090000000000001
11,112KestonK HiuraHiura2B112‌‌‌,MIL,59,217,30,46,4,0,13,32,16,85,3,2,0.212,0.297,0.41,0.7070000000000001
12,113VictorV ReyesReyesCF113‌‌‌,DET,57,202,30,56,7,2,4,14,9,45,8,2,0.27699999999999997,0.315,0.391,0.706
13,114YoanY MoncadaMoncada3B114‌‌‌,CWS,52,200,28,45,8,3,6,24,28,72,0,0,0.225,0.32,0.385,0.705
14,115RamonR LaureanoLaureanoCF115‌‌‌,OAK,54,183,27,39,8,1,6,25,24,58,2,1,0.213,0.33799999999999997,0.366,0.7040000000000001
15,116KyleK SchwarberSchwarberLF116‌‌‌,CHC,59,191,30,36,6,0,11,24,30,66,1,0,0.188,0.308,0.39299999999999996,0.701
16,117IsiahI Kiner-FalefaKiner-Falefa3B117‌‌‌,TEX,58,211,28,59,4,3,3,10,14,32,8,5,0.28,0.32899999999999996,0.37,0.6990000000000001
17,118CarlosC SantanaSantana1B118‌‌‌,CLE,60,206,34,41,7,0,8,30,47,43,0,0,0.19899999999999998,0.349,0.35,0.698
