,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,caret-upcaret-downOPS
13,64JuricksonJ ProfarProfar2B64‌‌‌,OAK,--,105,19,32,7,0,3,17,13,17,2,0,0.305,0.37799999999999995,0.457,0.835
14,65AlbertA PujolsPujols1B65‌‌‌,LAA,--,165,20,43,9,0,11,37,14,22,1,0,0.261,0.315,0.515,0.83
15,66JeffJ McNeilMcNeilLF66‌‌‌,NYM,--,141,17,44,10,0,3,16,9,20,3,2,0.312,0.37799999999999995,0.447,0.825
16,67KevinK PillarPillarCF67‌‌‌,SF,--,162,22,45,12,0,9,29,8,15,4,3,0.278,0.305,0.519,0.823
17,68DomingoD SantanaSantanaLF68‌‌‌,SEA,--,122,21,29,5,0,8,19,20,48,2,2,0.23800000000000002,0.345,0.475,0.82
18,69RougnedR OdorOdor2B69‌‌‌,TEX,--,165,27,39,14,0,9,32,21,57,4,2,0.23600000000000002,0.33,0.485,0.815
19,70WhitW MerrifieldMerrifieldRF70‌‌‌,KC,--,193,34,54,14,1,8,28,14,32,10,2,0.28,0.327,0.48700000000000004,0.8140000000000001
20,71TreaT TurnerTurnerSS71‌‌‌,WSH,--,117,21,37,9,0,2,6,10,23,8,1,0.316,0.36700000000000005,0.444,0.812
21,72AnthonyA RizzoRizzo1B72‌‌‌,CHC,--,124,19,31,5,0,6,30,15,20,1,1,0.25,0.371,0.435,0.8059999999999999
22,73DansbyD SwansonSwansonSS73‌‌‌,ATL,--,99,16,29,2,1,4,16,9,19,2,2,0.293,0.349,0.455,0.8029999999999999
23,74YuliY GurrielGurriel1B74‌‌‌,HOU,--,158,23,38,15,1,7,23,18,12,2,1,0.24100000000000002,0.322,0.48100000000000004,0.8029999999999999
24,75AndrewA BenintendiBenintendiLF75‌‌‌,BOS,--,160,20,43,12,0,5,27,21,43,0,1,0.26899999999999996,0.358,0.43799999999999994,0.7959999999999999
0,76YasielY PuigPuigRF76‌‌‌,CLE,--,136,17,38,6,0,5,23,14,30,3,1,0.27899999999999997,0.35700000000000004,0.434,0.7909999999999999
1,77LukeL VoitVoit1B77‌‌‌,NYY,--,108,15,27,5,0,5,13,16,33,0,0,0.25,0.354,0.435,0.79
2,78ChristianC WalkerWalker1B78‌‌‌,ARI,--,145,23,35,8,0,6,14,28,40,1,0,0.24100000000000002,0.368,0.42100000000000004,0.7879999999999999
3,79JoseJ RamírezRamirez3B79‌‌‌,CLE,--,156,23,42,9,0,7,24,15,14,7,0,0.26899999999999996,0.326,0.462,0.787
4,80AdamA EatonEatonRF80‌‌‌,WSH,--,138,27,40,7,3,2,10,12,28,4,2,0.29,0.359,0.428,0.787
5,81LeuryL GarcíaGarciaCF81‌‌‌,CWS,--,183,30,57,13,1,3,14,6,34,4,0,0.311,0.344,0.44299999999999995,0.7859999999999999
6,82RyanR McMahonMcMahon2B82‌‌‌,COL,--,152,20,39,5,0,10,28,9,56,1,0,0.257,0.298,0.48700000000000004,0.785
7,83RandalR GrichukGrichukCF83‌‌‌,TOR,--,188,24,47,9,3,9,26,16,46,1,0,0.25,0.311,0.473,0.784
